id_aluno,ano,id_municipio,id_uf,rede,caderno,ctx_taxa_municipio,ctx_media_municipio,ctx_meta_municipio,ctx_distancia_meta_municipio,ctx_atingiu_meta_municipio,ctx_participacao_municipio,ctx_categoria_municipio,ctx_faixa_participacao_municipio,proficiencia,gap_proficiencia,label_alfabetizado,ctx_atlas_idhm,ctx_atlas_idhm_educacao,ctx_atlas_idhm_renda,ctx_atlas_idhm_longevidade,ctx_atlas_taxa_analfabetismo_15mais,ctx_atlas_taxa_frequencia_6a14,ctx_atlas_expectativa_anos_estudo,ctx_atlas_taxa_fundamental_incompleto,ctx_atlas_renda_per_capita,ctx_atlas_indice_gini,ctx_atlas_percentual_pobres,ctx_atlas_percentual_extremamente_pobres,ctx_atlas_percentual_vulneraveis_pobreza,ctx_atlas_percentual_domicilios_agua,ctx_atlas_percentual_domicilios_energia,ctx_atlas_taxa_densidade_domiciliar,ctx_nse_municipio,ctx_ponderador_nse_municipio,ctx_nse_municipio_proxy_2023,ctx_nse_uf,ctx_ponderador_nse_uf,ctx_nse_uf_proxy_2023
1,2023,2210003,22,Estadual,B,82.84,821.01,67.24,-0.63,True,86.99,Muito abaixo,Baixa,910.98,22.07,0,0.645,0.567,0.615,0.769,22.22,98.31,10.14,33.89,368.36,0.57,32.56,17.77,58.42,83.51,96.04,31.76,51.88,1.04,True,52.04,1.02,True
2,2025,5206404,52,Privada,B,47.4,865.92,69.67,-4.81,True,86.53,Acima,Baixa,563.02,24.71,1,0.708,0.625,0.706,0.805,11.96,96.74,9.74,30.29,645.4,0.55,13.81,8.18,33.01,90.11,94.49,12.76,36.84,1.04,False,39.66,0.96,False
3,2024,5104500,51,Estadual,A,69.48,876.32,64.66,-9.1,True,94.86,Muito abaixo,Baixa,804.97,-72.98,0,0.661,0.533,0.645,0.841,14.4,95.35,8.11,42.95,443.9,0.46,14.09,3.24,45.96,99.07,100.0,21.45,40.51,1.04,False,53.91,0.97,False
4,2024,5101605,51,Privada,B,68.28,751.09,86.23,-0.37,True,91.32,Muito acima,Baixa,866.51,38.71,0,0.6,0.44,0.598,0.82,17.4,86.29,6.93,46.48,330.46,0.5,27.47,13.62,59.24,71.56,94.76,38.6,30.18,1.03,False,53.91,0.97,False
5,2024,3545159,35,Estadual,A,87.17,756.08,68.5,9.19,True,70.8,Muito acima,Baixa,605.87,34.95,1,0.791,0.75,0.771,0.857,2.67,96.79,10.69,15.53,967.88,0.39,0.71,0.04,5.43,99.21,100.0,18.55,57.9,1.0,False,57.99,1.01,False
6,2025,3171907,31,Municipal,B,65.45,839.96,76.84,3.05,False,71.48,Muito abaixo,Média,624.29,36.52,1,0.62,0.497,0.602,0.795,21.33,98.43,8.93,46.49,339.03,0.51,31.97,12.86,57.29,82.14,96.51,20.31,46.3,1.01,False,35.85,0.99,False
7,2023,2101004,21,Privada,A,61.18,694.34,83.76,-0.09,True,88.05,Acima,Média,934.03,-85.19,0,0.626,0.546,0.587,0.764,22.02,99.01,9.4,31.05,308.83,0.57,38.56,21.94,65.3,73.63,96.19,45.04,38.92,0.99,True,38.88,1.0,True
8,2025,5201207,52,Privada,A,75.18,851.21,83.51,-7.79,False,84.59,Acima,Média,619.07,-10.63,1,0.725,0.657,0.724,0.802,3.73,100.0,7.22,21.55,721.84,0.39,1.85,0.4,13.84,99.43,100.0,12.41,52.46,0.99,False,39.66,0.96,False
9,2023,4207650,42,Municipal,B,54.66,748.24,73.15,-4.95,True,77.81,Muito abaixo,Média,693.48,-18.19,0,0.759,0.695,0.743,0.847,3.34,98.88,11.66,26.12,815.06,0.43,3.45,1.63,13.34,94.61,100.0,6.33,64.84,1.03,True,37.29,1.05,True
10,2023,3515608,35,Privada,A,47.69,634.76,74.29,-4.1,True,82.56,Muito acima,Baixa,694.63,-82.66,0,0.758,0.68,0.746,0.859,7.79,96.57,10.54,26.16,832.72,0.41,0.42,0.42,8.57,99.35,100.0,12.01,51.78,1.05,True,57.99,1.01,True
11,2024,3205176,32,Municipal,A,66.28,621.62,89.84,5.3,False,92.74,Próximo,Média,613.87,-55.53,0,0.675,0.549,0.686,0.816,14.07,96.83,9.28,38.3,569.82,0.51,15.83,5.54,34.99,93.81,99.66,13.48,37.54,0.97,False,49.38,1.03,False
12,2025,3158003,31,Privada,A,62.93,852.6,80.24,7.53,False,94.8,Acima,Média,849.11,-11.81,1,0.648,0.533,0.622,0.821,13.96,98.33,8.16,38.88,382.99,0.45,18.58,5.34,50.37,76.46,98.73,22.22,47.63,0.98,False,35.85,0.99,False
13,2025,1304104,13,Privada,A,52.79,616.67,84.44,8.03,False,86.84,Muito acima,Alta,847.33,48.58,1,0.502,0.355,0.512,0.694,30.86,79.47,6.35,52.84,193.97,0.6,58.07,39.66,76.76,47.23,80.77,63.26,58.94,0.99,False,52.66,0.96,False
14,2025,2703403,27,Estadual,A,60.21,684.18,87.08,9.69,True,81.56,Muito abaixo,Baixa,670.24,-52.59,0,0.583,0.481,0.543,0.759,28.12,97.68,8.75,47.6,235.11,0.49,46.94,16.2,74.63,81.42,98.99,40.42,59.57,1.03,False,59.24,0.97,False
15,2025,2205300,22,Privada,A,60.15,700.24,83.63,9.65,True,78.12,Muito acima,Média,875.81,65.95,0,0.591,0.461,0.569,0.787,25.01,97.35,9.06,43.17,275.19,0.49,34.55,21.99,63.93,96.51,93.27,28.67,45.66,1.02,False,43.08,1.01,False
16,2025,3113701,31,Municipal,B,58.01,651.9,65.56,9.06,True,85.66,Muito acima,Média,595.88,9.16,0,0.648,0.513,0.641,0.826,21.95,97.61,8.49,39.66,432.37,0.53,23.12,7.09,49.5,94.0,98.61,20.26,31.2,0.99,False,35.85,0.99,False
17,2024,3117405,31,Municipal,B,60.87,694.17,76.87,-8.56,True,79.44,Próximo,Média,501.94,52.08,0,0.676,0.565,0.664,0.825,15.2,98.47,8.69,45.55,497.4,0.54,20.41,8.97,42.12,82.49,99.24,10.85,30.41,0.97,False,43.24,1.04,False
18,2023,5108402,51,Municipal,A,77.72,822.81,63.06,-7.24,False,86.92,Muito abaixo,Alta,757.03,-5.49,0,0.734,0.661,0.711,0.842,5.87,95.92,9.62,18.5,668.86,0.46,7.03,2.01,23.21,97.23,99.92,31.6,54.22,0.97,True,53.91,0.97,True
19,2025,4321477,43,Estadual,A,56.33,604.4,79.59,-3.91,True,90.3,Muito acima,Média,947.33,-0.16,0,0.689,0.569,0.705,0.815,10.75,98.86,10.58,43.71,644.85,0.48,12.98,4.28,27.5,86.95,98.7,11.59,53.72,1.01,False,41.34,0.97,False
20,2024,2410207,24,Privada,B,92.19,848.15,88.66,1.06,True,71.98,Próximo,Baixa,517.39,23.94,1,0.621,0.547,0.581,0.754,23.8,98.47,9.69,36.08,296.9,0.52,36.04,21.33,63.4,62.07,99.0,25.66,59.05,0.97,False,45.38,1.02,False
21,2024,4216404,42,Municipal,B,90.4,856.96,75.38,-8.06,False,70.03,Próximo,Média,593.6,85.59,0,0.695,0.587,0.682,0.84,7.66,98.33,10.61,33.26,558.4,0.42,9.05,2.25,25.56,79.4,100.0,10.4,39.37,1.04,False,37.29,1.05,False
22,2024,3510401,35,Estadual,B,66.45,711.68,72.99,6.92,True,76.37,Muito abaixo,Alta,733.51,-1.64,0,0.75,0.669,0.744,0.848,5.0,97.29,9.08,20.22,820.46,0.46,2.91,0.44,14.5,95.85,99.85,25.78,47.84,1.03,False,57.99,1.01,False
23,2023,4115002,41,Privada,B,58.06,646.08,61.08,2.34,True,96.84,Muito acima,Média,864.47,5.73,1,0.681,0.585,0.651,0.828,12.77,98.46,11.18,32.9,461.09,0.36,6.47,1.34,28.56,89.16,100.0,16.74,52.39,1.02,True,55.88,0.98,True
24,2025,4311759,43,Municipal,B,69.45,780.25,88.79,0.85,True,89.39,Muito abaixo,Alta,540.07,20.4,0,0.655,0.534,0.686,0.766,9.77,99.27,9.96,40.66,570.72,0.52,13.93,4.78,37.65,91.22,99.64,14.98,43.01,1.01,False,41.34,0.97,False
25,2025,3157005,31,Privada,A,86.67,635.9,63.09,-6.69,True,75.16,Próximo,Média,677.86,47.5,0,0.679,0.551,0.697,0.815,17.28,97.15,9.23,35.61,613.65,0.65,23.1,8.63,48.48,84.53,98.25,18.08,63.18,1.04,False,35.85,0.99,False
26,2024,2101608,21,Municipal,A,75.89,709.48,61.23,-4.93,False,96.71,Muito abaixo,Média,836.18,-85.63,0,0.606,0.498,0.585,0.763,27.71,95.81,8.95,44.34,305.61,0.62,44.97,26.21,67.13,73.48,97.14,38.49,42.64,1.01,False,38.88,1.0,False
