id_aluno,ano_referencia,regiao,uf,zona,porte_municipio,populacao_municipio,sexo,idade_meses,renda_per_capita,idh_municipio,taxa_pobreza,beneficiario_bolsa_familia,inse_escola,infraestrutura_escola,professores_formacao_adequada_pct,razao_aluno_professor,taxa_frequencia_creche_pre,meta_estadual_alfabetizacao,municipio_atingiu_meta_anterior,frequencia_escolar_pct,alfabetizado
1,2023,Sudeste,MG,Rural,Médio,56264,M,86,694.46,0.712,17.97,0,4.28,7.68,85.27,21.66,84.79,73.84,0,81.53,0
2,2023,Sudeste,ES,Urbana,Pequeno,10960,M,87,1127.71,0.832,17.25,0,4.32,7.28,90.53,20.94,49.38,67.38,1,93.55,0
3,2024,Nordeste,AL,Urbana,Médio,160465,M,97,415.71,0.637,25.74,0,,7.88,53.41,26.47,25.21,66.83,1,92.49,1
4,2023,Nordeste,AL,Urbana,Pequeno,18517,M,99,673.19,0.666,34.5,0,5.25,4.65,60.95,21.07,33.97,70.93,0,90.65,0
5,2022,Centro-Oeste,DF,Urbana,Grande,10921252,F,101,693.63,0.661,34.64,1,5.94,4.66,67.52,18.1,54.65,74.45,0,90.1,0
6,2024,Sudeste,MG,Urbana,Pequeno,15634,F,84,1359.8,0.754,23.35,0,3.87,5.4,59.7,19.84,39.72,74.68,0,81.08,0
7,2023,Sudeste,MG,Urbana,Pequeno,10522,F,91,866.98,0.696,29.03,1,,4.81,48.48,19.45,63.53,80.34,1,85.21,0
8,2024,Nordeste,AL,Rural,Pequeno,13193,F,90,616.3,0.683,25.86,0,3.17,5.9,90.09,23.24,53.36,69.93,0,83.51,0
9,2022,Nordeste,BA,Rural,Pequeno,4209,F,107,1145.36,0.59,22.34,1,4.23,5.63,63.95,23.95,80.83,68.95,1,86.41,0
10,2024,Nordeste,PB,Urbana,Grande,11682822,F,91,1030.69,0.688,40.2,0,3.86,5.3,70.04,23.31,35.98,68.95,0,100.0,1
11,2023,Nordeste,CE,Urbana,Pequeno,16929,F,105,514.4,0.624,22.49,0,2.59,3.44,98.34,17.45,35.76,77.68,0,83.85,0
12,2022,Nordeste,PE,Urbana,Pequeno,11725,M,85,838.04,0.623,33.27,1,4.89,6.17,67.2,22.6,42.51,70.08,0,100.0,0
13,2023,Norte,RO,Urbana,Médio,164125,M,100,482.39,0.624,32.36,1,4.3,5.42,62.02,23.31,81.24,55.42,0,88.97,1
14,2022,Nordeste,MA,Urbana,Médio,73437,F,106,925.66,0.76,38.92,1,6.79,6.3,78.82,21.41,56.7,65.01,1,93.06,0
15,2024,Norte,AC,Urbana,Grande,9650433,M,100,1137.81,0.69,24.66,1,4.69,3.76,55.73,23.95,75.55,71.29,1,87.18,1
16,2024,Norte,AM,Urbana,Pequeno,18589,F,100,1027.12,0.666,32.13,0,3.61,5.36,63.51,24.23,72.75,62.96,0,80.65,0
17,2023,Sudeste,ES,Urbana,Grande,7717471,M,101,519.12,0.8,16.84,0,6.87,3.96,54.83,14.99,50.21,73.7,1,77.9,1
