ano,id_uf,id_municipio,nome_municipio,idhm,idhm_educacao,idhm_renda,idhm_longevidade,taxa_analfabetismo_11a14,taxa_analfabetismo_15a17,taxa_analfabetismo_15mais,taxa_frequencia_6a14,taxa_frequencia_4a5,taxa_frequencia_0a3,expectativa_anos_estudo,taxa_fundamental_incompleto,renda_per_capita,indice_gini,percentual_pobres,percentual_extremamente_pobres,percentual_vulneraveis_pobreza,percentual_domicilios_agua,percentual_domicilios_energia,taxa_densidade_domiciliar
2010,11,1100015,Alta Floresta D'Oeste,0.641,0.526,0.657,0.763,1.22,1.52,11.99,95.68,39.18,4.89,8.67,40.27,476.99,0.58,47.12,26.04,14.29,93.69,93.98,22.58
2010,11,1100023,Ariquemes,0.702,0.6,0.716,0.806,1.55,1.09,7.9,97.21,55.34,9.89,9.18,26.59,689.95,0.53,29.04,11.54,4.36,98.54,98.58,27.15
2010,11,1100031,Cabixi,0.65,0.559,0.65,0.757,0.62,1.06,13.63,98.03,66.92,12.49,10.09,38.52,457.17,0.51,46.98,21.2,7.27,95.49,96.36,19.93
2010,11,1100049,Cacoal,0.718,0.62,0.727,0.821,1.01,0.8,8.29,97.61,62.41,11.38,9.74,26.16,738.06,0.57,29.82,13.08,5.97,97.96,98.89,20.5
2010,11,1100056,Cerejeiras,0.692,0.602,0.688,0.799,1.14,0.75,10.29,98.54,61.27,13.45,10.22,32.21,577.18,0.5,34.85,13.7,4.72,97.53,98.85,16.66
2010,11,1100064,Colorado Do Oeste,0.685,0.584,0.676,0.814,0.51,1.23,12.43,97.65,49.14,10.67,10.4,33.74,535.41,0.49,37.11,15.76,6.64,95.54,97.76,14.73
2010,11,1100072,Corumbiara,0.613,0.473,0.63,0.774,1.25,1.54,12.47,97.09,34.37,1.3,9.82,44.63,402.15,0.48,46.42,24.02,10.16,93.24,97.81,14.46
2010,11,1100080,Costa Marques,0.611,0.493,0.616,0.751,1.48,1.44,8.6,97.57,63.69,13.15,9.22,41.98,370.77,0.52,55.8,30.48,9.66,95.67,90.13,36.18
2010,11,1100098,Espigão D'Oeste,0.672,0.536,0.691,0.819,2.17,1.28,11.33,95.91,45.82,6.01,9.55,35.2,590.8,0.52,35.08,13.86,6.6,93.7,96.7,19.97
2010,11,1100106,Guajará-Mirim,0.657,0.519,0.663,0.823,2.2,1.77,8.06,93.13,51.67,9.26,8.17,30.54,494.69,0.54,43.92,23.47,10.38,93.26,97.71,43.4
2010,11,1100114,Jaru,0.689,0.577,0.687,0.825,1.66,1.27,10.66,97.77,67.63,8.81,9.42,34.02,575.14,0.49,32.12,13.78,4.32,97.09,99.4,19.09
2010,11,1100122,Ji-Paraná,0.714,0.617,0.728,0.81,1.35,1.0,7.79,96.56,57.19,7.85,9.95,25.07,743.35,0.53,26.26,8.56,2.67,97.81,99.35,23.3
